Category,Date,Open,High,Low,Close,Volume,SMA_10,EMA_10,Volatility,Wavelet_Trend,Wavelet_Noise,Wavelet_HighFreq,General_Index,Economic_Score,Market_Sentiment,News_Tag,Close_Next
Finance,2024-01-10,113.88591522666016,114.56035358988287,112.60308902498384,113.96122223397512,2540850,107.79252836147036,108.91545030830719,4.589949081192311,107.79252836147036,6.168693872504761,1.58512008717193,2925,84.05358799491938,Neutral,Earnings,113.5343868483502
Tech,2024-01-11,113.15132643304486,113.68811099890252,111.67090604171717,113.5343868483502,4567124,108.99662421570312,109.75525695195137,4.325640636232692,108.99662421570312,4.537762632647073,-0.4268353856249263,2855,88.33682980309119,Neutral,Product Launch,113.10292734120969
Tech,2024-01-12,112.53889606380585,114.10417587735053,111.10902850638635,113.10292734120969,2528447,110.13522697945609,110.36392429545288,3.640874072035531,110.13522697945609,2.9677003617536,-0.4314595071405023,2083,16.03938750061452,Positive,Other,114.08685188434175
Finance,2024-01-13,114.24179927403208,115.67588297332325,112.64653696247987,114.08685188434175,3304123,111.19268448990212,111.0408202207054,2.9790636533176613,111.19268448990212,2.8941673944396342,0.983924543132062,4093,33.95731412081696,Neutral,Merger,110.76029139502616
Tech,2024-01-14,110.12349862072786,112.17446434955956,110.18584897661586,110.76029139502616,4058321,111.562879980135,110.98981497967281,2.6161266039548856,111.562879980135,-0.8025885851088361,-3.3265604893155967,4487,33.522318021357165,Neutral,Earnings,107.81045573000009
Finance,2024-01-15,107.60314227971415,107.91090775292804,106.0509509254114,107.81045573000009,3200852,111.63492257880992,110.41174966155049,2.485948574207805,111.63492257880992,-3.824466848809834,-2.9498356650260718,3542,4.204479607594469,Neutral,Other,107.18588067151815
Retail,2024-01-16,106.68829369156853,107.33168434225395,107.08743884243663,107.18588067151815,3456373,111.64133506302646,109.82522802699916,2.473062685267094,111.64133506302646,-4.455454391508312,-0.6245750584819376,2985,59.823775985189656,Negative,Other,105.6602184308493
Energy,2024-01-17,105.93506002399442,106.46596499611458,105.1980567251003,105.6602184308493,4542409,111.12933876007469,109.06795355497191,3.117248072424616,111.12933876007469,-5.46912032922539,-1.5256622406688507,3868,85.4820052992188,Neutral,Other,106.78871309603984
Finance,2024-01-18,107.68942814567309,107.37929408413572,104.99394166111242,106.78871309603984,1068247,110.52670497781135,108.65354619880243,3.3303795383258605,110.52670497781135,-3.7379918817715065,1.1284946651905443,2135,38.15743878255178,Negative,Regulation,105.47266494499743
Finance,2024-01-19,104.82187095359576,105.93743359110952,104.96028191611872,105.47266494499743,4328359,109.83636125763078,108.07520415265606,3.608326128836215,109.83636125763078,-4.363696312633351,-1.3160481510424091,3206,74.0035944984177,Neutral,Regulation,103.14805754232684
Health,2024-01-20,102.22154830087806,103.71006654014427,102.70675542308334,103.14805754232684,3253422,108.75504478846594,107.17935931441437,3.847172591187925,108.75504478846594,-5.606987246139099,-2.324607402670594,3732,62.77004136007399,Neutral,Regulation,106.57935508016995
Retail,2024-01-21,106.51691163749491,108.18632056676371,106.30310449388945,106.57935508016995,3938324,108.05954161164792,107.07026763546082,3.500173027616008,108.05954161164792,-1.480186531477969,3.4312975378431076,3195,37.56487354930008,Negative,Regulation,106.62780247919687
Health,2024-01-22,106.63565137717575,108.48625858646058,104.90957896390304,106.62780247919687,1153560,107.41202912544664,106.989819425231,3.030993862262092,107.41202912544664,-0.7842266462497633,0.04844739902692652,2908,14.105979949229708,Negative,Earnings,107.26285888857272
